city,state,language,localLanguage,Type,Population (2011),Population class,country
Aurangabad,Maharashtra,Marathi,मराठी,Municipal Corporation / Corporation.,"1,02,520",Class I,India
Amalner,Maharashtra,Marathi,मराठी,Municipal Council,95994,Class II,India
Akot,Maharashtra,Marathi,मराठी,Municipal Council,92637,Class II,India
Pandharpur,Maharashtra,Marathi,मराठी,Municipal Council,91379,,India
Shrirampur,Maharashtra,Marathi,मराठी,Urban Agglomeration,88761,,India
Parli,Maharashtra,Marathi,मराठी,Municipal Council,88537,,India
Washim,Maharashtra,Marathi,मराठी,Municipal Council,78387,Class II,India
Ambejogai,Maharashtra,Marathi,मराठी,Municipal Council,73975,Class II,India
Manmad,Maharashtra,Marathi,मराठी,Municipal Council,72401,,India
Ratnagiri,Maharashtra,Marathi,मराठी,Municipal Council,70383,,India
Uran Islampur,Maharashtra,Marathi,मराठी,Municipal Council,67391,Class II,India
Pusad,Maharashtra,Marathi,मराठी,Municipal Council,67116,,India
Sangamner,Maharashtra,Marathi,मराठी,Municipal Council,61958,,India
Shirpur-Warwade,Maharashtra,Marathi,मराठी,Municipal Council,61694,,India
Malkapur,Maharashtra,Marathi,मराठी,Municipal Council,61012,,India
Wani,Maharashtra,Marathi,मराठी,Municipal Council,58840,Class II,India
Lonavla,Maharashtra,Marathi,मराठी,Municipal Council,57698,Class II,India
Talegaon Dabhade,Maharashtra,Marathi,मराठी,Municipal Council,56435,Class II,India
Anjangaon,Maharashtra,Marathi,मराठी,Municipal Council,56380,Class II,India
Umred,Maharashtra,Marathi,मराठी,Municipal Council,53971,Class II,India
Palghar,Maharashtra,Marathi,मराठी,Municipal Council,52677,,India
Shegaon,Maharashtra,Marathi,मराठी,Municipal Council,52423,,India
Ozar,Maharashtra,Marathi,मराठी,Census town,51297,Class II,India
Phaltan,Maharashtra,Marathi,मराठी,Municipal Council,50800,,India
Yevla,Maharashtra,Marathi,मराठी,Municipal Council,49826,Class III,India
Shahade,Maharashtra,Marathi,मराठी,Municipal Council,49696,,India
Vita,Maharashtra,Marathi,मराठी,Municipal Council,48289,Class III,India
Umarkhed,Maharashtra,Marathi,मराठी,Municipal Council,47458,Class III,India
Warora,Maharashtra,Marathi,मराठी,Municipal Council,46532,Class III,India
Pachora,Maharashtra,Marathi,मराठी,Municipal Council,45333,,India
Tumsar,Maharashtra,Marathi,मराठी,Municipal Council,44869,Class III,India
Manjlegaon,Maharashtra,Marathi,मराठी,Municipal Council,44029,,India
Sillod,Maharashtra,Marathi,मराठी,Municipal Council,43867,,India
Arvi,Maharashtra,Marathi,मराठी,Municipal Council,42822,Class III,India
Nandura,Maharashtra,Marathi,मराठी,Municipal Council,42167,Class III,India
Vaijapur,Maharashtra,Marathi,मराठी,Municipal Council,41296,Class III,India
Wadgaon Road,Maharashtra,Marathi,मराठी,Census town.,40884,Class III,India
Sailu,Maharashtra,Marathi,मराठी,Municipal Council,39851,,India
Murtijapur,Maharashtra,Marathi,मराठी,Municipal Council,38554,,India
Tasgaon,Maharashtra,Marathi,मराठी,Municipal Council,37945,Class III,India
Mehkar,Maharashtra,Marathi,मराठी,Municipal Council,37715,,India
Yawal,Maharashtra,Marathi,मराठी,Municipal Council,36706,Class III,India
Pulgaon,Maharashtra,Marathi,मराठी,Municipal Council,36522,,India
Nilanga,Maharashtra,Marathi,मराठी,Municipal Council,36172,Class III,India
Wai,Maharashtra,Marathi,मराठी,Municipal Council,36025,Class III,India
Umarga,Maharashtra,Marathi,मराठी,Municipal Council,35477,Class III,India
Paithan,Maharashtra,Marathi,मराठी,Municipal Council,34518,,India
Rahuri,Maharashtra,Marathi,मराठी,Municipal Council,34476,,India
Nawapur,Maharashtra,Marathi,मराठी,Municipal Council,34207,Class III,India
Tuljapur,Maharashtra,Marathi,मराठी,Municipal Council,34011,Class III,India
Morshi,Maharashtra,Marathi,मराठी,Municipal Council,33607,,India
Purna,Maharashtra,Marathi,मराठी,Municipal Council,33225,,India
Satana,Maharashtra,Marathi,मराठी,Municipal Council,32561,,India
Pathri,Maharashtra,Marathi,मराठी,Municipal Council,32001,,India
Sinnar,Maharashtra,Marathi,मराठी,Municipal Council,31630,,India
Uchgaon,Maharashtra,Marathi,मराठी,Census town,31238,Class III,India
Uran,Maharashtra,Marathi,मराठी,Municipal Council,30439,Class III,India
Pen,Maharashtra,Marathi,मराठी,Municipal Council,30201,,India
Karjat,Maharashtra,Marathi,मराठी,Municipal Council,29663,Class III,India
Manwath,Maharashtra,Marathi,मराठी,Municipal Council,29218,,India
Partur,Maharashtra,Marathi,मराठी,Municipal Council,29012,,India
Sangole,Maharashtra,Marathi,मराठी,Municipal Council,28116,,India
Mangrulpir,Maharashtra,Marathi,मराठी,Municipal Council,27815,,India
Risod,Maharashtra,Marathi,मराठी,Municipal Council,27516,,India
Shirur,Maharashtra,Marathi,मराठी,Municipal Council,26999,,India
Savner,Maharashtra,Marathi,मराठी,Municipal Council,26712,,India
Sasvad,Maharashtra,Marathi,मराठी,Municipal Council,26689,,India
Pandharkaoda,Maharashtra,Marathi,मराठी,Municipal Council,26572,,India
Talode,Maharashtra,Marathi,मराठी,Municipal Council,26363,Class III,India
Shrigonda,Maharashtra,Marathi,मराठी,Municipal Council,26324,,India
Shirdi,Maharashtra,Marathi,मराठी,Municipal Council,26184,,India
Raver,Maharashtra,Marathi,मराठी,Municipal Council,25993,,India
Mukhed,Maharashtra,Marathi,मराठी,Municipal Council,25933,,India
Rajura,Maharashtra,Marathi,मराठी,Municipal Council,25843,,India
Vadgaon Kasba,Maharashtra,Marathi,मराठी,Municipal Council,25651,Class III,India
Tirora,Maharashtra,Marathi,मराठी,Municipal Council,25181,Class III,India
Mahad,Maharashtra,Marathi,मराठी,Municipal Council,24276,,India
Lonar,Maharashtra,Marathi,मराठी,Municipal Council,23416,Class III,India
Sawantwadi,Maharashtra,Marathi,मराठी,Municipal Council,22901,,India
Pathardi,Maharashtra,Marathi,मराठी,Municipal Council,22827,,India
Pauni,Maharashtra,Marathi,मराठी,Municipal Council,22587,,India
Ramtek,Maharashtra,Marathi,मराठी,Municipal Council,22516,,India
Mul,Maharashtra,Marathi,मराठी,Municipal Council,22330,,India
Soyagaon,Maharashtra,Marathi,मराठी,Census town,21819,,India
Mangalvedhe,Maharashtra,Marathi,मराठी,Municipal Council,21706,,India
Narkhed,Maharashtra,Marathi,मराठी,Municipal Council,21127,Class III,India
Shendurjana,Maharashtra,Marathi,मराठी,Municipal Council,21083,,India
Patur,Maharashtra,Marathi,मराठी,Municipal Council,20538,,India
Mhaswad,Maharashtra,Marathi,मराठी,Municipal Council,20500,,India
Loha,Maharashtra,Marathi,मराठी,Municipal Council,20148,Class III,India
Nandgaon,Maharashtra,Marathi,मराठी,Nagar Panchayat,11517,Class IV,India
Warud,Maharashtra,Marathi,मराठी,Municipal Council,6386,Class V,India
Imphal,Manipur,Manipuri,मराठी,Municipal Council,"2,64,986",Class I,India
Thoubal,Manipur,Manipuri,मराठी,Municipal Council,45947,Class III,India
Lilong,Manipur,Manipuri,मराठी,Nagar Panchayat,22888,Class III,India
Mayang Imphal,Manipur,Manipuri,मराठी,Nagar Panchayat,20532,,India
Shillong,Meghalaya,English,English,Urban Agglomeration,"2,67,662",,India
Tura,Meghalaya,English,English,Municipality,74858,Class II,India
Nongstoin,Meghalaya,English,English,Town Committee / Town Area Committee,28742,Class III,India
Aizawl,Mizoram,Hindi,हिन्दी,Notified Town,"2,91,822",Class I,India
Lunglei,Mizoram,Hindi,हिन्दी,Notified Town,57011,Class II,India
Saiha,Mizoram,Hindi,हिन्दी,Notified Town,19731,,India
Dimapur,Nagaland,English,English,Municipal Committee,"1,23,777",Class I,India
Kohima,Nagaland,English,English,Municipal Committee,99039,Class II,India
Zunheboto,Nagaland,English,English,Town Committee / Town Area Committee,37447,Class III,India
Tuensang,Nagaland,English,English,Town Committee / Town Area Committee,36774,Class III,India
Wokha,Nagaland,English,English,Town Committee / Town Area Committee.,35004,Class III,India
Mokokchung,Nagaland,English,English,Town Committee / Town Area Committee,31214,,India
Bhubaneswar,Odisha,Odia,ଓଡ଼ିଆ,Municipal Corporation / Corporation,"8,37,737",Class I,India
Cuttack,Odisha,Odia,ଓଡ଼ିଆ,Municipal Corporation / Corporation,"6,06,007",Class I,India
Raurkela,Odisha,Odia,ଓଡ଼ିଆ,Municipal Corporation / Corporation,"4,84,874",,India
Brahmapur,Odisha,Odia,ଓଡ଼ିଆ,Municipal Corporation / Corporation,"3,55,823",Class I,India
Sambalpur,Odisha,Odia,ଓଡ଼ିଆ,Municipal Corporation / Corporation.,"1,83,383",Class I,India
Puri,Odisha,Odia,ଓଡ଼ିଆ,Municipality,"1,57,837",,India
Baleshwar Town,Odisha,Odia,ଓଡ଼ିଆ,Municipality,"1,18,202",Class I,India
Baripada Town,Odisha,Odia,ଓଡ଼ିଆ,Municipality,"1,10,058",Class I,India
Bhadrak,Odisha,Odia,ଓଡ଼ିଆ,Municipality,"1,07,369",Class I,India
Balangir,Odisha,Odia,ଓଡ଼ିଆ,Municipality,98238,Class II,India
Jharsuguda,Odisha,Odia,ଓଡ଼ିଆ,Municipality,97730,Class II,India
Bargarh,Odisha,Odia,ଓଡ଼ିଆ,Municipality,80625,Class II,India
Paradip,Odisha,Odia,ଓଡ଼ିଆ,Notified area committee / Notified Area Council,73625,,India
Bhawanipatna,Odisha,Odia,ଓଡ଼ିଆ,Municipality,69045,Class II,India
Dhenkanal,Odisha,Odia,ଓଡ଼ିଆ,Municipality,67414,Class II,India
Barbil,Odisha,Odia,ଓଡ଼ିଆ,Municipality,66540,Class II,India
Kendujhar,Odisha,Odia,ଓଡ଼ିଆ,Municipality,60590,Class II,India
Sunabeda,Odisha,Odia,ଓଡ଼ିଆ,Notified area committee / Notified Area Council,58884,,India
Rayagada,Odisha,Odia,ଓଡ଼ିଆ,Municipality,57759,,India
Jatani,Odisha,Odia,ଓଡ଼ିଆ,Municipality,55925,Class II,India
Byasanagar,Odisha,Odia,ଓଡ଼ିଆ,Municipality,48911,Class III,India
Kendrapara,Odisha,Odia,ଓଡ଼ିଆ,Municipality,47006,Class III,India
Rajagangapur,Odisha,Odia,ଓଡ଼ିଆ,Municipality,43594,,India
Parlakhemundi,Odisha,Odia,ଓଡ଼ିଆ,Municipality,43097,,India
Talcher,Odisha,Odia,ଓଡ଼ିଆ,Municipality,40841,Class III,India
Sundargarh,Odisha,Odia,ଓଡ଼ିଆ,Municipality,38421,,India
Phulabani,Odisha,Odia,ଓଡ଼ିଆ,Notified area committee / Notified Area Council,33890,,India
Pattamundai,Odisha,Odia,ଓଡ଼ିଆ,Notified area committee / Notified Area Council,32730,,India
Titlagarh,Odisha,Odia,ଓଡ଼ିଆ,Notified area committee / Notified Area Council ,31258,Class III,India
Nabarangapur,Odisha,Odia,ଓଡ଼ିଆ,Municipality,29960,Class III,India
Soro,Odisha,Odia,ଓଡ଼ିଆ,Notified area committee / Notified Area Council,27794,,India
Malkangiri,Odisha,Odia,ଓଡ଼ିଆ,Notified area committee / Notified Area Council,23114,,India
Rairangpur,Odisha,Odia,ଓଡ଼ିଆ,Notified area committee / Notified Area Council,21896,,India
Tarbha,Odisha,Odia,ଓଡ଼ିଆ,Notified area committee / Notified Area Council.,8334,Class V,India
Pondicherry,Puducherry,Hindi,हिन्दी,Urban Agglomeration,"5,05,959",,India
Karaikal,Puducherry,Hindi,हिन्दी,Municipality,86838,Class II,India
Yanam,Puducherry,Hindi,हिन्दी,Municipality,55626,Class II,India
Mahe,Puducherry,Hindi,हिन्दी,Municipality,36828,,India
Ludhiana,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Corporation / Corporation.,"16,13,878",Class I,India
Patiala,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Corporation / Corporation.,"13,54,686",,India
Amritsar,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Corporation / Corporation.,"11,32,761",Class I,India
Jalandhar,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Corporation / Corporation,"8,62,196",Class I,India
Bathinda,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Corporation / Corporation,"2,85,813",Class I,India
Pathankot,Punjab,Punjabi,ਪੰਜਾਬੀ,Urban Agglomeration,"1,68,485",,India
Hoshiarpur,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,"1,68,443",Class I,India
Batala,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,"1,56,400",Class I,India
Moga,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,"1,50,432",Class I,India
Malerkotla,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,"1,35,330",Class I,India
Khanna,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,"1,28,130",Class I,India
Mohali,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,"1,23,484",,India
Barnala,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,"1,16,454",Class I,India
Firozpur,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,"1,10,091",Class I,India
Phagwara,Punjab,Punjabi,ਪੰਜਾਬੀ,Urban Agglomeration,"1,02,253",,India
Kapurthala,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,"1,01,654",Class I,India
Zirakpur,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,95553,Class II,India
Kot Kapura,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,91979,Class II,India
Faridkot,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,85435,Class II,India
Muktsar,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,83655,,India
Rajpura,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,82956,,India
Sangrur,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,77989,,India
Fazilka,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,76492,Class II,India
Gurdaspur,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,75549,Class II,India
Kharar,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,74460,Class II,India
Gobindgarh,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,73130,Class II,India
Mansa,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,72627,,India
Malout,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,70765,,India
Nabha,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,67972,Class II,India
Tarn Taran,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,66847,Class II,India
Jagraon,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,65240,Class II,India
Sunam,Punjab,Punjabi,ਪੰਜਾਬੀ,Urban Agglomeration,56251,,India
Dhuri,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,55225,Class II,India
Firozpur Cantt.,Punjab,Punjabi,ਪੰਜਾਬੀ,Cantonment Board / Cantonment,53199,Class II,India
Sirhind Fatehgarh Sahib,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,49825,,India
Rupnagar,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,49159,,India
Jalandhar Cantt.,Punjab,Punjabi,ਪੰਜਾਬੀ,Cantonment Board / Cantonment,47845,Class III,India
Samana,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,46592,,India
Nawanshahr,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,46024,Class III,India
Rampura Phul,Punjab,Punjabi,ਪੰਜਾਬੀ,Urban Agglomeration,44665,,India
Nangal,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,41172,Class III,India
Nakodar,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,36973,Class III,India
Zira,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,36732,Class III,India
Patti,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,34444,,India
Raikot,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,24769,,India
Longowal,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,23851,Class III,India
Urmar Tanda,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,23419,Class III,India
"Morinda, India",Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,22635,,India
Phillaur,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,22302,,India
Pattran,Punjab,Punjabi,ਪੰਜਾਬੀ,Nagar Panchayat,22175,,India
Qadian,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,21899,Class III,India
Sujanpur,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,21815,,India
Mukerian,Punjab,Punjabi,ਪੰਜਾਬੀ,Municipal Council,21384,,India
Talwara,Punjab,Punjabi,ਪੰਜਾਬੀ,Census town,19485,Class IV,India
Jaipur,Rajasthan,Hindi,हिन्दी,Municipal Corporation / Corporation,"30,73,350",Class I,India
Jodhpur,Rajasthan,Hindi,हिन्दी,Municipal Corporation / Corporation,"11,37,000",Class I,India
Bikaner,Rajasthan,Hindi,हिन्दी,Municipal Corporation / Corporation.,"6,44,406",Class I,India
Udaipur,Rajasthan,Hindi,हिन्दी,Municipal Corporation / Corporation,"5,98,483",Class I,India
Ajmer,Rajasthan,Hindi,हिन्दी,Municipal Corporation / Corporation.,"5,42,580",Class I,India
Bhilwara,Rajasthan,Hindi,हिन्दी,Municipality,"3,60,009",Class I,India
Alwar,Rajasthan,Hindi,हिन्दी,Municipal Council,"3,15,310",Class I,India
Bharatpur,Rajasthan,Hindi,हिन्दी,Municipal Corporation / Corporation.,"2,52,109",Class I,India
Pali,Rajasthan,Hindi,हिन्दी,Municipal Council,"2,29,956",Class I,India
Barmer,Rajasthan,Hindi,हिन्दी,Nagar Parishad,"1,89,715",Class I,India
Sikar,Rajasthan,Hindi,हिन्दी,Urban Agglomeration,"1,85,925",,India
Tonk,Rajasthan,Hindi,हिन्दी,Municipal Council,"1,65,363",Class I,India
Sadulpur,Rajasthan,Hindi,हिन्दी,Municipality,"1,22,326",,India
Sawai Madhopur,Rajasthan,Hindi,हिन्दी,Urban Agglomeration,"1,01,997",,India
Nagaur,Rajasthan,Hindi,हिन्दी,Municipality,"1,00,618",Class I,India
Makrana,Rajasthan,Hindi,हिन्दी,Urban Agglomeration,91853,,India
Sujangarh,Rajasthan,Hindi,हिन्दी,Municipality,83846,,India
Sardarshahar,Rajasthan,Hindi,हिन्दी,Municipality,81394,,India
Ladnu,Rajasthan,Hindi,हिन्दी,Municipality,65575,Class II,India
Ratangarh,Rajasthan,Hindi,हिन्दी,Municipality,63486,,India
Nokha,Rajasthan,Hindi,हिन्दी,Municipality,62699,Class II,India
Nimbahera,Rajasthan,Hindi,हिन्दी,Municipality,61949,Class II,India
Suratgarh,Rajasthan,Hindi,हिन्दी,Municipality,58119,,India
Rajsamand,Rajasthan,Hindi,हिन्दी,Municipality,55687,,India
Lachhmangarh,Rajasthan,Hindi,हिन्दी,Municipality,53392,Class II,India
Rajgarh (Churu),Rajasthan,Hindi,हिन्दी,Urban Agglomeration,51640,,India
Nasirabad,Rajasthan,Hindi,हिन्दी,Cantonment Board / Cantonment,50804,Class II,India
Nohar,Rajasthan,Hindi,हिन्दी,Municipality,49835,Class III,India
Phalodi,Rajasthan,Hindi,हिन्दी,Urban Agglomeration,44868,,India
Nathdwara,Rajasthan,Hindi,हिन्दी,Municipality,42016,Class III,India
Pilani,Rajasthan,Hindi,हिन्दी,Urban Agglomeration,40590,,India
Merta City,Rajasthan,Hindi,हिन्दी,Municipality,40252,,India
Sojat,Rajasthan,Hindi,हिन्दी,Municipality,38883,,India
Neem-Ka-Thana,Rajasthan,Hindi,हिन्दी,Municipality,36231,Class III,India
Sirohi,Rajasthan,Hindi,हिन्दी,Municipality,35544,,India
Pratapgarh,Rajasthan,Hindi,हिन्दी,Municipality,35422,,India
Rawatbhata,Rajasthan,Hindi,हिन्दी,Municipality,34690,,India
Sangaria,Rajasthan,Hindi,हिन्दी,Municipality,34537,,India
Lalsot,Rajasthan,Hindi,हिन्दी,Municipality,34363,Class III,India
Pilibanga,Rajasthan,Hindi,हिन्दी,Municipality,33608,,India
Pipar City,Rajasthan,Hindi,हिन्दी,Municipality,32735,,India
Taranagar,Rajasthan,Hindi,हिन्दी,Municipality,32640,Class III,India
"Vijainagar, Ajmer",Rajasthan,Hindi,हिन्दी,Municipality,32124,Class III,India
Sumerpur,Rajasthan,Hindi,हिन्दी,Municipality,31482,,India
Sagwara,Rajasthan,Hindi,हिन्दी,Municipality,31127,,India
Ramganj Mandi,Rajasthan,Hindi,हिन्दी,Municipality,30973,,India
Lakheri,Rajasthan,Hindi,हिन्दी,Municipality,29572,Class III,India
Udaipurwati,Rajasthan,Hindi,हिन्दी,Municipality,29236,Class III,India
Losal,Rajasthan,Hindi,हिन्दी,Municipality,28504,Class III,India
Sri Madhopur,Rajasthan,Hindi,हिन्दी,Municipality,28492,,India
Ramngarh,Rajasthan,Hindi,हिन्दी,Municipality,28458,,India
Rawatsar,Rajasthan,Hindi,हिन्दी,Municipality,28387,,India
Rajakhera,Rajasthan,Hindi,हिन्दी,Municipality,28349,,India
Shahpura,Rajasthan,Hindi,हिन्दी,Municipality,28174,,India
Shahpura,Rajasthan,Hindi,हिन्दी,Municipality,27792,,India
Raisinghnagar,Rajasthan,Hindi,हिन्दी,Municipality,27736,,India
Malpura,Rajasthan,Hindi,हिन्दी,Urban Agglomeration,27360,,India
Nadbai,Rajasthan,Hindi,हिन्दी,Municipality,26411,Class III,India
Sanchore,Rajasthan,Hindi,हिन्दी,Municipality,25884,,India
Nagar,Rajasthan,Hindi,हिन्दी,Municipality,25572,Class III,India
Rajgarh (Alwar),Rajasthan,Hindi,हिन्दी,Municipality,25009,,India
Sheoganj,Rajasthan,Hindi,हिन्दी,Municipality,24789,,India
Sadri,Rajasthan,Hindi,हिन्दी,Municipality,24413,,India
Todaraisingh,Rajasthan,Hindi,हिन्दी,Municipality,23559,Class III,India
Todabhim,Rajasthan,Hindi,हिन्दी,Municipality,22977,Class III,India
Reengus,Rajasthan,Hindi,हिन्दी,Municipality,22932,,India
Rajaldesar,Rajasthan,Hindi,हिन्दी,Municipality,22836,,India
Sadulshahar,Rajasthan,Hindi,हिन्दी,Municipality,22326,,India
Sambhar,Rajasthan,Hindi,हिन्दी,Municipality,22293,,India
Prantij,Rajasthan,Hindi,हिन्दी,Municipality,22282,,India
Mount Abu,Rajasthan,Hindi,हिन्दी,Municipality,22152,,India
Mangrol,Rajasthan,Hindi,हिन्दी,Municipality,21842,,India
Phulera,Rajasthan,Hindi,हिन्दी,Municipality,21643,,India
Mandawa,Rajasthan,Hindi,हिन्दी,Municipality,20830,,India
Pindwara,Rajasthan,Hindi,हिन्दी,Municipality,20765,,India
Mandalgarh,Rajasthan,Hindi,हिन्दी,Municipality,20169,,India
Takhatgarh,Rajasthan,Hindi,हिन्दी,Municipality,16729,Class IV,India
Chennai,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation.,"46,81,087",Class I,India
Coimbatore,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation,"10,61,447",Class I,India
Madurai,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation,"10,16,885",Class I,India
Tiruchirappalli,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation.,"8,46,915",Class I,India
Salem,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation,"8,31,038",Class I,India
Tirunelveli,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation.,"4,74,838",Class I,India
Tiruppur,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation,"4,44,543",Class I,India
Ranipet,Tamil Nadu,Tamil,தமிழ்,Urban Agglomeration,"2,62,346",,India
Nagercoil,Tamil Nadu,Tamil,தமிழ்,Municipality,"2,24,329",Class I,India
Thanjavur,Tamil Nadu,Tamil,தமிழ்,Municipality,"2,22,619",Class I,India
Vellore,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation.,"1,85,895",Class I,India
Kancheepuram,Tamil Nadu,Tamil,தமிழ்,Municipality,"1,64,265",Class I,India
Erode,Tamil Nadu,Tamil,தமிழ்,Municipal Corporation / Corporation.,"1,56,953",Class I,India
Tiruvannamalai,Tamil Nadu,Tamil,தமிழ்,Municipality,"1,44,683",Class I,India
Pollachi,Tamil Nadu,Tamil,தமிழ்,Urban Agglomeration,"1,28,458",,India
Rajapalayam,Tamil Nadu,Tamil,தமிழ்,Municipality,"1,22,307",,India
Sivakasi,Tamil Nadu,Tamil,தமிழ்,Urban Agglomeration,"1,21,358",,India
Pudukkottai,Tamil Nadu,Tamil,தமிழ்,Municipality,"1,09,217",,India
Neyveli (TS),Tamil Nadu,Tamil,தமிழ்,Census town,"1,05,687",Class I,India
Nagapattinam,Tamil Nadu,Tamil,தமிழ்,Municipality,"1,02,838",Class I,India
Viluppuram,Tamil Nadu,Tamil,தமிழ்,Municipality,96253,Class II,India
Tiruchengode,Tamil Nadu,Tamil,தமிழ்,Municipality,95335,Class II,India
Vaniyambadi,Tamil Nadu,Tamil,தமிழ்,Municipality,95061,Class II,India
Theni Allinagaram,Tamil Nadu,Tamil,தமிழ்,Municipality,94453,Class II,India
Udhagamandalam,Tamil Nadu,Tamil,தமிழ்,Municipality,88430,Class II,India
Aruppukkottai,Tamil Nadu,Tamil,தமிழ்,Municipality,87722,Class II,India
Paramakudi,Tamil Nadu,Tamil,தமிழ்,Municipality,84321,,India
Arakkonam,Tamil Nadu,Tamil,தமிழ்,Municipality,78395,Class II,India
Virudhachalam,Tamil Nadu,Tamil,தமிழ்,Municipality,73585,Class II,India
Srivilliputhur,Tamil Nadu,Tamil,தமிழ்,Municipality,73183,,India
Tindivanam,Tamil Nadu,Tamil,தமிழ்,Municipality,72796,Class II,India
Virudhunagar,Tamil Nadu,Tamil,தமிழ்,Municipality,72296,Class II,India
Karur,Tamil Nadu,Tamil,தமிழ்,Municipality,70980,Class II,India
